seed,algo,t_ms,hv_now,bsf_hv
6,MOEA/D,1535.257,0.5823486515627181,0.5823486515627181
6,MOEA/D,1599.03,0.6226263576729859,0.6226263576729859
6,MOEA/D,1646.535,0.6335792799350559,0.6335792799350559
6,MOEA/D,1693.757,0.633646520594046,0.633646520594046
6,MOEA/D,1742.656,0.6385455878266543,0.6385455878266543
6,MOEA/D,1790.029,0.6385455878266543,0.6385455878266543
6,MOEA/D,1837.565,0.6397632218659965,0.6397632218659965
6,MOEA/D,1884.777,0.6452696357687225,0.6452696357687225
6,MOEA/D,1948.435,0.656512663713109,0.656512663713109
6,MOEA/D,1995.631,0.678194595750441,0.678194595750441
6,MOEA/D,2043.104,0.7009575394610311,0.7009575394610311
6,MOEA/D,2090.774,0.7103370643191372,0.7103370643191372
6,MOEA/D,2139.004,0.7119041156292234,0.7119041156292234
6,MOEA/D,2185.816,0.711957974590112,0.711957974590112
6,MOEA/D,2249.763,0.7121523486936018,0.7121523486936018
6,MOEA/D,2296.84,0.7140884230004279,0.7140884230004279
6,MOEA/D,2343.482,0.7145361872700778,0.7145361872700778
6,MOEA/D,2389.645,0.7425421840369202,0.7425421840369202
6,MOEA/D,2436.933,0.7428409305041007,0.7428409305041007
6,MOEA/D,2499.22,0.7375112579738657,0.7428409305041007
6,MOEA/D,2546.894,0.7378731117530306,0.7428409305041007
6,MOEA/D,2594.26,0.7383744074064675,0.7428409305041007
6,MOEA/D,2641.639,0.7505718752551523,0.7505718752551523
6,MOEA/D,2689.73,0.7672779129516315,0.7672779129516315
6,MOEA/D,2737.952,0.7629121791657754,0.7672779129516315
6,MOEA/D,2786.619,0.8198470500405207,0.8198470500405207
6,MOEA/D,2836.091,0.8211786285293939,0.8211786285293939
6,MOEA/D,2885.43,0.8308496828658378,0.8308496828658378
6,MOEA/D,2934.112,0.8645549860849668,0.8645549860849668
6,MOEA/D,2999.38,0.8714639346775388,0.8714639346775388
6,MOEA/D,3049.009,0.8846625884306014,0.8846625884306014
6,MOEA/D,3097.785,0.8806582900181776,0.8846625884306014
6,MOEA/D,3146.554,0.8893864464374945,0.8893864464374945
6,MOEA/D,3179.812,0.8898684897875173,0.8898684897875173
7,AW-NSGA-II,46.496,0.0,0.0
7,AW-NSGA-II,99.131,0.0,0.0
7,AW-NSGA-II,148.885,0.0,0.0
7,AW-NSGA-II,199.254,0.0,0.0
7,AW-NSGA-II,249.325,0.0,0.0
7,AW-NSGA-II,296.268,0.0,0.0
7,AW-NSGA-II,349.275,0.06009879219412577,0.06009879219412577
7,AW-NSGA-II,396.669,0.08413656858761981,0.08413656858761981
7,AW-NSGA-II,449.624,0.11748852703516291,0.11748852703516291
7,AW-NSGA-II,499.496,0.1539817957755951,0.1539817957755951
7,AW-NSGA-II,549.621,0.16511441792566556,0.16511441792566556
7,AW-NSGA-II,597.293,0.18493125456557213,0.18493125456557213
7,AW-NSGA-II,647.447,0.19025428480369283,0.19025428480369283
7,AW-NSGA-II,698.133,0.23452852457845508,0.23452852457845508
7,AW-NSGA-II,748.783,0.3554781439003185,0.3554781439003185
7,AW-NSGA-II,798.372,0.37064619015972966,0.37064619015972966
7,AW-NSGA-II,831.755,0.370806773991725,0.370806773991725
7,MOEA/D,49.617,0.0,0.0
7,MOEA/D,99.468,0.0,0.0
7,MOEA/D,147.984,0.0,0.0
7,MOEA/D,196.875,0.0,0.0
7,MOEA/D,244.108,0.0,0.0
7,MOEA/D,291.408,0.003322764211422471,0.003322764211422471
7,MOEA/D,339.11,0.0217095279084433,0.0217095279084433
7,MOEA/D,386.343,0.03354689355666684,0.03354689355666684
7,MOEA/D,449.173,0.07976992582387864,0.07976992582387864
7,MOEA/D,497.771,0.09796990981994165,0.09796990981994165
7,MOEA/D,544.931,0.10723933377902728,0.10723933377902728
7,MOEA/D,593.64,0.1122307786477046,0.1122307786477046
7,MOEA/D,640.723,0.12186699035193174,0.12186699035193174
7,MOEA/D,689.095,0.1308607530530777,0.1308607530530777
7,MOEA/D,736.21,0.1307696597389243,0.1308607530530777
7,MOEA/D,799.058,0.1361661794608998,0.1361661794608998
7,MOEA/D,846.354,0.14289694188984367,0.14289694188984367
7,MOEA/D,895.607,0.15762555445301007,0.15762555445301007
7,MOEA/D,942.868,0.16393553488410575,0.16393553488410575
7,MOEA/D,988.848,0.16068094006602085,0.16393553488410575
7,MOEA/D,1036.325,0.15873758100342159,0.16393553488410575
7,MOEA/D,1084.52,0.16893123455526982,0.16893123455526982
7,MOEA/D,1147.664,0.18068756016941862,0.18068756016941862
7,MOEA/D,1194.659,0.18859407199690315,0.18859407199690315
7,MOEA/D,1241.899,0.21161279792271837,0.21161279792271837
7,MOEA/D,1289.994,0.23002903210910952,0.23002903210910952
7,MOEA/D,1338.511,0.2580021055257907,0.2580021055257907
7,MOEA/D,1386.301,0.2531589480944872,0.2580021055257907
7,MOEA/D,1433.806,0.2945390026768667,0.2945390026768667
7,MOEA/D,1499.059,0.29488461945793165,0.29488461945793165
7,MOEA/D,1547.295,0.304522999595953,0.304522999595953
7,MOEA/D,1595.532,0.4202376679161908,0.4202376679161908
