seed,algo,metric,t_ms,final_hv
35,AW-NSGA-II,t99,848.1673000005685,0.47217123668662686
35,MOEA/D,t50,990.5771000003369,0.5439663655660902
35,MOEA/D,t90,2140.781799999786,0.5439663655660902
35,MOEA/D,t99,2440.354500000467,0.5439663655660902
36,AW-NSGA-II,t50,449.8587000007319,0.6128403444745736
36,AW-NSGA-II,t90,696.6442000002644,0.6128403444745736
36,AW-NSGA-II,t99,796.8441000002713,0.6128403444745736
36,MOEA/D,t50,936.418300000696,0.6699235005976398
36,MOEA/D,t90,3084.7241000001304,0.6699235005976398
36,MOEA/D,t99,3196.324000000459,0.6699235005976398
37,AW-NSGA-II,t50,396.0847999996986,0.640088490645757
37,AW-NSGA-II,t90,798.3995999993567,0.640088490645757
37,AW-NSGA-II,t99,845.2879999995275,0.640088490645757
37,MOEA/D,t50,896.2658000000374,0.6490241911240484
37,MOEA/D,t90,2834.2181999996683,0.6490241911240484
37,MOEA/D,t99,3087.692199999765,0.6490241911240484
38,AW-NSGA-II,t50,397.77609999964625,0.5562981448600967
38,AW-NSGA-II,t90,646.9943000001876,0.5562981448600967
38,AW-NSGA-II,t99,798.7741999995706,0.5562981448600967
38,MOEA/D,t50,787.2018999996726,0.8310367998501036
38,MOEA/D,t90,2585.803300000407,0.8310367998501036
38,MOEA/D,t99,3191.2356000002546,0.8310367998501036
39,AW-NSGA-II,t50,596.0602000004656,0.37575319057366285
39,AW-NSGA-II,t90,796.4872000002288,0.37575319057366285
39,AW-NSGA-II,t99,796.4872000002288,0.37575319057366285
39,MOEA/D,t50,943.3736999999383,0.8113441842010662
39,MOEA/D,t90,2845.357399999557,0.8113441842010662
39,MOEA/D,t99,3162.661399999706,0.8113441842010662
40,AW-NSGA-II,t50,499.0602999996554,0.3609582565444518
40,AW-NSGA-II,t90,797.537999999804,0.3609582565444518
40,AW-NSGA-II,t99,832.1484999996756,0.3609582565444518
40,MOEA/D,t50,1497.372799999539,0.5196258330128234
40,MOEA/D,t90,2297.554300000229,0.5196258330128234
40,MOEA/D,t99,2792.858900000283,0.5196258330128234
41,AW-NSGA-II,t50,447.54569999986415,0.5211847198108746
41,AW-NSGA-II,t90,748.2039000005898,0.5211847198108746
41,AW-NSGA-II,t99,848.9353000004485,0.5211847198108746
41,MOEA/D,t50,1645.0255999998262,0.7453354224549363
41,MOEA/D,t90,2499.6483000004446,0.7453354224549363
41,MOEA/D,t99,3147.723600000063,0.7453354224549363
42,AW-NSGA-II,t50,498.3266999997795,0.4530070109915757
42,AW-NSGA-II,t90,749.786800000038,0.4530070109915757
42,AW-NSGA-II,t99,849.432899999556,0.4530070109915757
42,MOEA/D,t50,1091.127300000153,0.807316382709921
42,MOEA/D,t90,2999.692500000492,0.807316382709921
42,MOEA/D,t99,3239.3019000001004,0.807316382709921
43,AW-NSGA-II,t50,696.3308000003963,0.6466520357079519
43,AW-NSGA-II,t90,846.8278000000282,0.6466520357079519
43,AW-NSGA-II,t99,859.9260000000868,0.6466520357079519
43,MOEA/D,t50,1787.3523999996905,0.848126587219446
43,MOEA/D,t90,2791.318699999465,0.848126587219446
43,MOEA/D,t99,3139.2329999998765,0.848126587219446
44,AW-NSGA-II,t50,448.4309999998004,0.5284810356504215
44,AW-NSGA-II,t90,747.752500000388,0.5284810356504215
