seed,algo,budget_ms,bsf_hv
28,AW-NSGA-II,1000,0.542175301307881
28,AW-NSGA-II,2000,0.542175301307881
28,MOEA/D,100,0.0
28,MOEA/D,200,0.0
28,MOEA/D,500,0.07281576277951132
28,MOEA/D,1000,0.3093754044637431
28,MOEA/D,2000,0.616451889245616
29,AW-NSGA-II,100,0.001330035554184221
29,AW-NSGA-II,200,0.06643634352975554
29,AW-NSGA-II,500,0.35802637451153385
29,AW-NSGA-II,1000,0.6074484971332277
29,AW-NSGA-II,2000,0.6074484971332277
29,MOEA/D,100,0.0
29,MOEA/D,200,0.028922995715067387
29,MOEA/D,500,0.14847055093970699
29,MOEA/D,1000,0.41697674524047273
29,MOEA/D,2000,0.8287762774398564
30,AW-NSGA-II,100,0.0
30,AW-NSGA-II,200,0.0008036681398692669
30,AW-NSGA-II,500,0.1783158984358753
30,AW-NSGA-II,1000,0.34678138712361467
30,AW-NSGA-II,2000,0.34678138712361467
30,MOEA/D,100,0.0
30,MOEA/D,200,0.0
30,MOEA/D,500,0.18028090376816258
30,MOEA/D,1000,0.37237589503043333
30,MOEA/D,2000,0.6935763651901076
31,AW-NSGA-II,100,0.0
31,AW-NSGA-II,200,0.06311691020452687
31,AW-NSGA-II,500,0.3434025228750781
31,AW-NSGA-II,1000,0.5117283599428452
31,AW-NSGA-II,2000,0.5117283599428452
31,MOEA/D,100,0.0
31,MOEA/D,200,0.0
31,MOEA/D,500,0.09285050577624475
31,MOEA/D,1000,0.2770969288704838
31,MOEA/D,2000,0.41904227038433717
32,AW-NSGA-II,100,0.0
32,AW-NSGA-II,200,0.1390632174030789
32,AW-NSGA-II,500,0.29061818218441204
32,AW-NSGA-II,1000,0.4868392855311664
32,AW-NSGA-II,2000,0.4868392855311664
32,MOEA/D,100,0.0
32,MOEA/D,200,0.0
32,MOEA/D,500,0.08915652918568477
32,MOEA/D,1000,0.28752231557145175
32,MOEA/D,2000,0.4785140459085453
33,AW-NSGA-II,100,0.0
33,AW-NSGA-II,200,0.038225883549205794
33,AW-NSGA-II,500,0.31123037435280815
33,AW-NSGA-II,1000,0.6096568974051342
33,AW-NSGA-II,2000,0.6096568974051342
33,MOEA/D,100,0.0
33,MOEA/D,200,0.0
33,MOEA/D,500,0.12083996711201436
33,MOEA/D,1000,0.26156186317577745
33,MOEA/D,2000,0.4651525028090228
34,AW-NSGA-II,100,0.0
34,AW-NSGA-II,200,0.0929048035618501
34,AW-NSGA-II,500,0.40656196520740695
34,AW-NSGA-II,1000,0.7126220277819729
34,AW-NSGA-II,2000,0.7126220277819729
34,MOEA/D,100,0.0
34,MOEA/D,200,0.016107931886175764
34,MOEA/D,500,0.219071840905618
34,MOEA/D,1000,0.431382259406333
34,MOEA/D,2000,0.7314407296161578
35,AW-NSGA-II,100,0.0
35,AW-NSGA-II,200,0.005750807399725835
35,AW-NSGA-II,500,0.2592195832047572
35,AW-NSGA-II,1000,0.47217123668662686
35,AW-NSGA-II,2000,0.47217123668662686
35,MOEA/D,100,0.0
35,MOEA/D,200,0.0
35,MOEA/D,500,0.10760345230256659
35,MOEA/D,1000,0.30645812644402626
35,MOEA/D,2000,0.4462191813154178
36,AW-NSGA-II,100,0.0009684024991155803
36,AW-NSGA-II,200,0.002119421974502107
36,AW-NSGA-II,500,0.3731498774525073
36,AW-NSGA-II,1000,0.6128403444745736
36,AW-NSGA-II,2000,0.6128403444745736
36,MOEA/D,100,0.0
36,MOEA/D,200,0.022050315864795667
36,MOEA/D,500,0.12616525776362958
36,MOEA/D,1000,0.35071630474951665
36,MOEA/D,2000,0.46728275463217356
37,AW-NSGA-II,100,0.01826166309490637
37,AW-NSGA-II,200,0.1744577839147316
37,AW-NSGA-II,500,0.4218645447325302
37,AW-NSGA-II,1000,0.640088490645757
37,AW-NSGA-II,2000,0.640088490645757
37,MOEA/D,100,0.0
37,MOEA/D,200,0.037737635618848596
37,MOEA/D,500,0.2066037360186173
37,MOEA/D,1000,0.3792407492139887
37,MOEA/D,2000,0.5711186551367999
38,AW-NSGA-II,100,0.008191893426515566
38,AW-NSGA-II,200,0.09361927759257209
38,AW-NSGA-II,500,0.4194988126361756
38,AW-NSGA-II,1000,0.5562981448600967
38,AW-NSGA-II,2000,0.5562981448600967
