config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
D14,nohealth,7,310.6666666666667,2673.7754414858305,0.52,0.17463637945305388,-0.3688309546044527,0.24051603802030175,0.7326934324892764
D14,full,8,608.6666666666667,4949.092675802463,0.26,0.4842813251195466,-0.1473448604066212,0.20359451597434275,0.32032786237925137
D14,hard,8,585.3333333333334,5798.28813288665,0.0,0.6898788417213138,0.0,0.22447945518525303,0.32032786237925137
D14,nohealth,8,330.0,2989.5887705792975,0.54,0.4719738587743514,-0.2898559018983642,0.1661113440171309,0.7435259916154717
D14,full,9,576.0,4992.414074023696,0.18,0.5019310211446424,-0.15711146039175605,0.19288638603490982,0.37073366093323484
D14,hard,9,563.3333333333334,5720.01596836234,0.0,0.6741463152053806,0.0,0.19303336391185522,0.37073366093323484
D14,nohealth,9,311.33333333333337,2763.074906747333,0.48,0.3724370771149441,-0.29018189172308967,0.14012119651291455,0.743328733749819
D14,full,10,542.3333333333334,4315.335686362512,0.22,0.3152608669234016,-0.22731302251000302,0.2343924678182463,0.3390643909447751
D14,hard,10,517.0,5022.493027132397,0.0,0.5900826849413867,0.0,0.2539049312246272,0.3390643909447751
D14,nohealth,10,340.3333333333333,2699.164375546165,0.52,0.3235496752931022,-0.304447776868794,0.15086735588600164,0.7402814783691143
D14,full,11,683.3333333333334,4861.6394540470155,0.2,0.31798836348286685,-0.2796017473439335,0.2465487519639764,0.7180767406640033
D14,hard,11,544.6666666666666,5769.778970458247,0.0,0.7156215460396107,0.0,0.279243143665029,0.45073443288627635
D14,nohealth,11,349.3333333333333,2878.5237375220513,0.56,0.3067057965657629,-0.24679024835412794,0.19645741195525657,0.7318445621207417
D14,full,12,807.3333333333333,5510.183485057022,0.14,0.4856836126696349,-0.2078240716620135,0.23537316320627244,0.3130542734150614
D14,hard,12,595.0,5764.38893999887,0.0,0.689536885819906,0.0,0.24169986976893099,0.3130542734150614
D14,nohealth,12,303.0,2987.8840195365283,0.52,0.3623144911774867,-0.3284754107329246,0.19691268129806783,0.7463893208568539
D14,full,13,587.0,4655.319203296408,0.22,0.431561738862678,-0.07593647777402172,0.27450504754495986,0.40337630160904503
D14,hard,13,582.0,5138.460835418654,0.0,0.5903620474318265,0.0,0.28573847146336895,0.40337630160904503
D14,nohealth,13,298.0,2582.6812736857887,0.44,0.2109025066764365,-0.2714396173784109,0.2482401312152246,0.7540854997642193
D14,full,14,656.6666666666666,5303.769628947343,0.14,0.4934593443996005,-0.2065312313393494,0.16333404488987857,0.3184417814980253
D14,hard,14,527.3333333333333,5140.854532092843,0.0,0.5780752561837004,0.0,0.17387822447737677,0.30680354550185696
D14,nohealth,14,291.66666666666663,2711.4755791051857,0.52,0.4276089302411821,-0.3846002786231826,0.11685310357146639,0.7424722743782302
D14,full,15,314.66666666666663,2953.9784117249037,0.48,0.33097786879787505,-0.3601122027903243,0.1947070334209705,0.7686285760128675
D14,hard,15,563.3333333333331,5329.3990965564435,0.0,0.6955324817747957,0.0,0.2411724611932865,0.35453568606737923
D14,nohealth,15,339.6666666666667,2840.1382469104387,0.56,0.33865464078531193,-0.3398776851919455,0.17380771937316541,0.7317298491244293
D14,full,16,635.0,4543.80145234949,0.28,0.46044125893483834,-0.17166311461588224,0.17959244891448678,0.306164891857608
D14,hard,16,570.0,5691.470888150672,0.0,0.6442441738377298,0.0,0.19932799508739396,0.306164891857608
D14,nohealth,16,390.0,3002.9996019389837,0.54,0.3470464272555793,-0.3346433889414652,0.1735181676087999,0.7328023693956425
D14,full,17,522.0,4036.523035185789,0.24,0.5011125204902838,-0.1919008291354926,0.2342846698930906,0.4148661270249999
D14,hard,17,505.6666666666667,4899.120152274959,0.0,0.6778123593101206,0.0,0.255467622502798,0.4148661270249999
D14,nohealth,17,344.0,2844.1891195630897,0.52,0.303385196529274,-0.29697705636651756,0.23474430229996646,0.7294111656461787
D14,full,18,637.6666666666666,4511.669689138898,0.24,0.2996441680298536,-0.16691384017070005,0.2051342043963199,0.4558863766453769
D14,hard,18,579.6666666666666,5546.959626740386,0.0,0.5983368706557208,0.0,0.24021913625252878,0.42521318803445496
D14,nohealth,18,355.00000000000006,2617.0394965156934,0.58,0.24776250867746374,-0.2412470974995326,0.16715391184935735,0.7481660726640822
D14,full,19,680.6666666666666,5060.778300450047,0.18,0.4270651847751359,-0.21557408854775112,0.24352965801302984,0.3029397554043654
D14,hard,19,569.6666666666666,5486.72395377129,0.0,0.6311832992303876,0.0,0.26106902749684124,0.3029397554043654
D14,nohealth,19,286.0,2843.377278201669,0.42,0.30578394384866336,-0.3691581872263098,0.17820719480765812,0.7692820397442294
D14,full,20,311.6666666666667,2769.3831415142286,0.5,0.3738797762526489,-0.2742126244075611,0.1323107526934666,0.7657514271371458
