config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
W3,hard,1,603.3333333333333,5897.104106559135,0.0,0.5472894880340047,0.0,0.25227817304525524,0.33736652892105395
W3,nohealth,1,323.3333333333333,2936.3829830735453,0.48,0.2318590153462703,-0.2609917235370629,0.1857586491295582,0.6452680794817985
W3,full,2,512.3333333333334,4642.461567993487,0.66,0.26421956017146253,-0.23279274385729104,0.31323991315935984,0.344479135840777
W3,hard,2,1406.0,16030.407078375105,0.0,0.8278574526556128,0.0,0.34215705376111205,0.3332705929508417
W3,nohealth,2,333.66666666666663,3098.793885478136,0.74,0.1402623610297129,-0.2804538473750633,0.3150208969559424,0.6409241917528695
W3,full,3,706.0000000000001,4740.411821878076,0.1,0.4906634558851506,-0.04318531270931156,0.23489102181426258,0.3304679274121517
W3,hard,3,557.0,4246.28071044317,0.0,0.5508783449704227,0.0,0.24785959906099964,0.3304679274121517
W3,nohealth,3,317.66666666666663,2735.5845121267075,0.4,0.45585369193350944,-0.22320953328105608,0.18428325290094605,0.636640086453475
W3,full,4,635.3333333333334,4919.254977413422,0.02,0.3525525009616708,-0.09461366649363974,0.32658737165848417,0.31291517997697577
W3,hard,4,424.0,3807.243789210059,0.0,0.5193404681686822,0.0,0.34101372711244105,0.31291517997697577
W3,nohealth,4,388.0,2929.79880039294,0.26,0.2609632475054027,-0.2883090138939475,0.32957233506623806,0.6716271338180992
W3,full,5,711.3333333333335,5755.951337620234,0.16,0.23065245184381222,-0.21624769474791367,0.32055916344008095,0.3974786887810742
W3,hard,5,591.3333333333334,5693.935759587056,0.0,0.5690851815554585,0.0,0.3444793810737935,0.3974786887810742
W3,nohealth,5,410.0,3293.77089786066,0.58,0.2574136945607888,-0.18788118562541434,0.2485905146204721,0.6026925449366832
W3,full,6,763.3333333333334,5717.876213953846,0.36,0.5496896527724477,-0.14173429210703062,0.35728515064148536,0.3686223122449249
W3,hard,6,962.6666666666669,10144.016833512,0.0,0.855568485477229,0.0,0.36802884754619447,0.3686223122449249
W3,nohealth,6,412.0,3162.080899707155,0.68,0.26499840678284126,-0.19873457916155773,0.2943186091892013,0.6337691066952991
W3,full,7,336.66666666666663,3104.2853521440247,0.66,0.22932386881417544,-0.24170692526586926,0.34721887914438687,0.6515472347721515
W3,hard,7,954.6666666666666,10136.806078288591,0.0,0.7183485896513415,0.0,0.40851816293038157,0.305368315519731
W3,nohealth,7,354.3333333333333,2805.976364064776,0.72,0.23413844058687872,-0.23551543302915817,0.2992462083077405,0.6339447766965253
W3,full,8,527.3333333333334,4683.8980579448,0.02,0.4291839174229688,-0.06490472240138119,0.3381486145614607,0.35376950294304554
W3,hard,8,445.0,3945.3964714189024,0.0,0.52619123930267,0.0,0.31589635439417085,0.35376950294304554
W3,nohealth,8,299.66666666666663,2665.001345327475,0.32,0.3228870724626536,-0.19306669593902967,0.29534071039852783,0.6509824416169728
W3,full,9,627.6666666666666,4726.508875820385,0.02,0.34097609900619363,-0.06977461708016856,0.2017646578516621,0.3774380405289428
W3,hard,9,479.66666666666663,3841.6459983103555,0.0,0.4544497336457207,0.0,0.2776135977020885,0.3774380405289428
W3,nohealth,9,307.0,2927.599904920984,0.28,0.3394819091180732,-0.22107283306331485,0.21877262149031784,0.6764635403671584
W3,full,10,639.6666666666667,4921.276238375812,0.3,0.5138233281136486,-0.15740344107035903,0.3638745182114188,0.38577932552373867
