config,metric,mean,std,ci95_lo,ci95_hi,pct_change_vs_base
flc_hi,f2,2392.2313235619513,144.6328061478142,2338.2245461698126,2446.23810095409,-2.32
flc_hi,f3,1323.6833333333332,62.775635114148166,1300.242525942823,1347.1241407238433,0.22
flc_hi,f4,0.0,0.0,0.0,0.0,nan
flc_hi,hv,0.5984733197161954,0.10981196527308121,0.5574688579937596,0.6394777814386313,-4.59
flc_hi,delta_h_mean,0.08965068447587066,0.024477746760618528,0.080510543621445,0.09879082533029632,0.39
flc_hi,delta_h_max,0.20998571316541179,0.024395881539372947,0.20087614128698628,0.2190952850438373,-2.62
thr_lo,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
thr_lo,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
thr_lo,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
thr_lo,f4,0.0,0.0,0.0,0.0,nan
thr_lo,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
thr_lo,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
thr_lo,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
thr_hi,f1,326.8,40.29941577588186,311.75195084151954,341.8480491584805,0.0
thr_hi,f2,2449.0364109879033,183.4962315008719,2380.5177920734927,2517.555029902314,0.0
thr_hi,f3,1320.7833333333333,60.71286528812696,1298.112776854579,1343.4538898120877,0.0
thr_hi,f4,0.0,0.0,0.0,0.0,nan
thr_hi,hv,0.6272841305542152,0.10830315753628122,0.5868430668998885,0.6677251942085418,0.0
thr_hi,delta_h_mean,0.08930587977300727,0.02413003778043789,0.08029557558558696,0.09831618396042759,0.0
thr_hi,delta_h_max,0.21563660418136874,0.02754900728524179,0.20534963579946586,0.2259235725632716,0.0
dl_lo,f1,314.70000000000005,33.12687210064382,302.3302226660189,327.06977733398116,-3.7
dl_lo,f2,2611.034983329852,169.93758390769156,2547.5792466328753,2674.4907200268285,6.61
dl_lo,f3,1321.5888888888892,64.52168148664931,1297.4960970678228,1345.6816807099556,0.06
dl_lo,f4,0.0,0.0,0.0,0.0,nan
dl_lo,hv,0.6298270943938125,0.11202255437297279,0.5879971851356265,0.6716570036519984,0.41
dl_lo,delta_h_mean,0.08967390115094723,0.02416216865470276,0.08065159909789701,0.09869620320399744,0.41
dl_lo,delta_h_max,0.21861893476026192,0.0220883556996747,0.21037100719110763,0.22686686232941622,1.38
dl_hi,f1,324.2666666666667,43.41569538040344,308.05497958000376,340.47835375332966,-0.78
dl_hi,f2,2207.06120394169,179.76468463972847,2139.935967524831,2274.186440358549,-9.88
dl_hi,f3,1323.533333333333,62.44069063313838,1300.217596267505,1346.849070399161,0.21
dl_hi,f4,0.0,0.0,0.0,0.0,nan
dl_hi,hv,0.609802978133186,0.12830766646143368,0.5618921080833752,0.6577138481829967,-2.79
dl_hi,delta_h_mean,0.08953264035927794,0.024692718314366556,0.08031222780745434,0.09875305291110154,0.25
dl_hi,delta_h_max,0.21435959414012823,0.02347487089526184,0.20559393328823333,0.22312525499202313,-0.59
