config,seed,f1,f2,f3,f4,hv,delta_h_mean,delta_h_max,wall_s
beta_lo,16,288.3333333333333,2614.487598327615,1384.3333333333333,0.0,0.46385078914835387,0.0714118223699714,0.20167611686887443,0.767
beta_lo,17,375.3333333333333,2689.3216443564033,1244.5,0.0,0.8120960152131286,0.04440311417018884,0.23892012611965485,0.748
beta_lo,18,303.6666666666667,2305.1784862582685,1396.0,0.0,0.6159726438447812,0.10977831420158116,0.17911790087373136,0.743
beta_lo,19,340.66666666666663,2360.5535931753025,1245.6666666666665,0.0,0.6199427248627151,0.08434663212595392,0.20344117373240855,0.786
beta_lo,20,291.0,2527.4211112197295,1329.8333333333335,0.0,0.7880354696970454,0.01718583884107646,0.14327863100474947,0.769
beta_lo,21,280.33333333333337,2442.9606687617593,1333.5,0.0,0.5758643264524133,0.07227911263969236,0.19741199959313038,0.743
beta_lo,22,282.33333333333337,2391.9216714743256,1297.5,0.0,0.6559067807592441,0.03990712776035915,0.18610852640249853,0.771
beta_lo,23,358.6666666666667,2596.9053754093347,1418.1666666666665,0.0,0.6913165877244544,0.05761544858827611,0.17337321943213657,0.785
beta_lo,24,307.0,2138.8276924122033,1292.5,0.0,0.47115165439759565,0.04196070301037856,0.1881095154254715,0.749
beta_lo,25,370.33333333333337,2649.601496093002,1257.5,0.0,0.7778071997978915,0.07176671848579323,0.16697298967078222,0.748
beta_lo,26,321.0,2122.021265613307,1248.8333333333335,0.0,0.6114117333614711,0.06134975119718992,0.1706904275727903,0.784
beta_lo,27,293.33333333333337,2584.2842696344687,1369.8333333333335,0.0,0.516929394281556,0.07195609540716387,0.16732528753516507,0.769
beta_lo,28,407.0,2560.8556937720914,1382.666666666667,0.0,0.7986418240570392,0.05687812695642623,0.24629076462202326,0.742
beta_lo,29,364.6666666666667,2230.434121280173,1346.1666666666667,0.0,0.5949656116233982,0.09602409597101448,0.2208450231470409,0.775
beta_lo,30,350.00000000000006,2256.0800535053118,1225.1666666666667,0.0,0.7141052701394709,0.08173643412285668,0.170995990252108,0.789
beta_hi,1,333.6666666666667,2498.605095612057,1362.6666666666667,0.0,0.7547652078800399,0.0859441241338493,0.19474680018681167,0.766
beta_hi,2,304.0,2515.4526918122924,1282.6666666666667,0.0,0.39685798781435444,0.10898349740924433,0.25852577450716785,0.748
beta_hi,3,299.3333333333333,2246.331450819547,1348.8333333333333,0.0,0.5857491138925253,0.125085513590992,0.27052544691688996,0.794
