seed,variant,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
9,-adaptW,432.33333333333337,2400.999258009365,1348.3333333333335,0.0,0.2754060997487233,0.3988762294250865,74,20000,0.8191924000020663,0.08962593141649193,0.21930847276474974,0.35885602272970507,81.70151184034364,1.1919999999999937
9,-impAstar,368.6666666666667,2040.97031937319,1356.5,0.0,0.5867069197448561,0.8497395088160893,41,20000,0.8331851000002644,0.08963145387383974,0.2392044195669395,0.35097717782307414,80.83797693031117,1.0160000000000002
9,-closedLoop,368.6666666666667,2040.97031937319,1356.5,0.0,0.5867069197448561,0.8497395088160893,41,20000,4.08,0.08963145387383974,0.2392044195669395,0.35097717782307414,80.83797693031117,1.0160000000000002
9,hard-only,298.0,1786.650130400354,1336.1666666666667,0.0,0.9242162753553336,0.401654858971473,14,20000,0.8184003999995184,0.09131396962477294,0.2418298829957337,0.3641705749980835,81.47753370159231,0.8040000000000006
9,GA-SA-multiSoH,287.33333333333337,2152.252879607825,1322.0,0.0,0.5585694365954484,0.8089874223721519,1,20000,7.092443900000944,0.09271875096083682,0.2293053759274445,0.35850185279880775,83.95602423068848,0.7720000000000006
10,Full,279.0,1995.3028258529778,1184.1666666666665,0.0,0.3122799983692032,0.5239447059945259,44,20000,0.856,0.10794523823947241,0.21985940672565352,0.3170368104116552,79.91142188959832,0.7480000000000006
10,-health,268.3333333333333,1785.7802988058395,1177.8333333333333,0.0,0.6489904838609186,0.5878894386807436,15,20000,0.8300339999987045,0.10885626471058382,0.22048897031332448,0.32389028236021167,80.25314430958059,0.7300000000000005
10,-adaptW,341.6666666666667,2065.0568396263798,1161.8333333333333,0.0,0.45906401397859464,0.7702195500600526,63,20000,0.8321641999973508,0.10375119304044482,0.226221112652931,0.33329415360835934,82.19026600150121,0.9200000000000007
10,-impAstar,279.0,1995.3028258529778,1184.1666666666665,0.0,0.3122799983692032,0.5239447059945259,44,20000,0.841029699997307,0.10794523823947241,0.21985940672565352,0.3170368104116552,79.91142188959832,0.7480000000000006
10,-closedLoop,279.0,1995.3028258529778,1184.1666666666665,0.0,0.3122799983692032,0.5239447059945259,44,20000,0.856,0.10794523823947241,0.21985940672565352,0.3170368104116552,79.91142188959832,0.7480000000000006
10,hard-only,268.3333333333333,1785.7802988058395,1177.8333333333333,0.0,0.6489904838609186,0.5878894386807436,15,20000,0.8340750999996089,0.10885626471058382,0.22048897031332448,0.32389028236021167,80.25314430958059,0.7300000000000005
10,GA-SA-multiSoH,270.0,1932.1913193941696,1159.666666666667,0.0,0.4875921801240753,0.8180842282389765,1,20000,7.242473300000711,0.10501001172460409,0.21784677068703384,0.36639705138697987,80.32813276514567,0.7200000000000005
11,Full,318.0,2182.550618357275,1366.5000000000002,0.0,0.37808641667972154,0.7034253580104171,30,20000,4.5,0.09796733721630765,0.21319748028608387,0.32578675917264666,84.37786150303836,0.8940000000000007
11,-health,402.66666666666663,2005.4916441836815,1341.8333333333333,0.0,0.7384384396665689,0.6454075590130637,52,20000,0.8256750000000466,0.09200362197194996,0.17893770653514696,0.34508754306356826,84.97576624899298,1.1179999999999966
11,-adaptW,310.3333333333333,2255.2255587958007,1372.833333333333,0.0,0.24886715782510543,0.448791554779024,42,20000,0.8377020000007178,0.0968706383440339,0.18773805354759188,0.3453088367269015,83.51875584747468,0.8560000000000006
11,-impAstar,318.0,2182.550618357275,1366.5000000000002,0.0,0.37808641667972154,0.7034253580104171,30,20000,0.832825599998614,0.09796733721630765,0.21319748028608387,0.32578675917264666,84.37786150303836,0.8940000000000007
11,-closedLoop,318.0,2182.550618357275,1366.5000000000002,0.0,0.37808641667972154,0.7034253580104171,30,20000,4.5,0.09796733721630765,0.21319748028608387,0.32578675917264666,84.37786150303836,0.8940000000000007
11,hard-only,402.66666666666663,2005.4916441836815,1341.8333333333333,0.0,0.7384384396665689,0.6454075590130637,52,20000,0.8166100999987975,0.09200362197194996,0.17893770653514696,0.34508754306356826,84.97576624899298,1.1179999999999966
11,GA-SA-multiSoH,291.66666666666663,2220.5377250970664,1330.3333333333335,0.0,0.477201979395792,0.8996795348234714,1,20000,7.180152199998702,0.09479581081206474,0.19640749403668423,0.3508995806175317,84.39593836042138,0.8000000000000006
12,Full,309.33333333333337,2374.886099791335,1363.3333333333333,0.0,0.3302407371833178,0.6376298920580847,35,20000,4.531,0.046722032461898044,0.21536652533993694,0.39569164288076597,85.12678521291036,0.8380000000000006
12,-health,304.3333333333333,2162.671666223061,1399.6666666666667,0.0,0.6892149806003735,0.7519534836514902,37,20000,0.8244168999990507,0.047892645835233824,0.20808178987610937,0.4274907703244064,85.6117261079961,0.8380000000000006
12,-adaptW,293.0,2439.461476713647,1367.5,0.0,0.2389785048585605,0.428219088085576,51,20000,0.8257262000006449,0.048737380932136545,0.21191590735156995,0.4550233754580073,83.9758791422831,0.8040000000000006
12,-impAstar,309.33333333333337,2374.886099791335,1363.3333333333333,0.0,0.3302407371833178,0.6376298920580847,35,20000,0.8390694999980042,0.046722032461898044,0.21536652533993694,0.39569164288076597,85.12678521291036,0.8380000000000006
12,-closedLoop,309.33333333333337,2374.886099791335,1363.3333333333333,0.0,0.3302407371833178,0.6376298920580847,35,20000,4.531,0.046722032461898044,0.21536652533993694,0.39569164288076597,85.12678521291036,0.8380000000000006
12,hard-only,304.3333333333333,2162.671666223061,1399.6666666666667,0.0,0.6892149806003735,0.7519534836514902,37,20000,0.8267163999989862,0.047892645835233824,0.20808178987610937,0.4274907703244064,85.6117261079961,0.8380000000000006
12,GA-SA-multiSoH,306.66666666666663,2592.0438755407113,1344.8333333333335,0.0,0.0,0.0,1,20000,7.093413700000383,0.046941817483211426,0.23626028964371304,0.42073498803624876,85.18167752761323,0.8300000000000006
