seed,variant,row,f1,f2,f3,f4,knee
1,GA-SA-multiSoH,0,290.3333333333333,2337.099268565971,1325.8333333333335,0.0,1
2,Full,0,320.6666666666667,2337.4580902787015,1285.3333333333335,0.0,0
2,Full,1,300.66666666666663,2146.9834011537077,1340.166666666667,0.0,0
2,Full,2,323.3333333333333,2243.728025594883,1288.1666666666665,0.0,0
2,Full,3,313.3333333333333,2107.804523172583,1340.9999999999998,0.0,0
2,Full,4,297.3333333333333,2169.02971225194,1318.0000000000002,0.0,0
2,Full,5,320.6666666666667,2337.4580902787015,1285.3333333333335,0.0,0
2,Full,6,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,Full,7,292.66666666666663,2168.0090743114993,1327.1666666666667,0.0,0
2,Full,8,311.6666666666667,2179.1291159822194,1314.6666666666667,0.0,0
2,Full,9,320.6666666666667,2380.0411273157383,1284.0,0.0,0
2,Full,10,297.3333333333333,2169.02971225194,1318.0000000000002,0.0,0
2,Full,11,288.6666666666667,2183.3665062786436,1319.333333333333,0.0,0
2,Full,12,313.3333333333333,2109.221660079919,1338.3333333333333,0.0,0
2,Full,13,300.66666666666663,2179.27659191349,1312.8333333333335,0.0,0
2,Full,14,295.6666666666667,2170.165678521704,1325.6666666666665,0.0,0
2,Full,15,313.3333333333333,2110.9632984873397,1335.6666666666665,0.0,0
2,Full,16,300.66666666666663,2133.888155701313,1348.0,0.0,0
2,Full,17,301.0,2130.2723194476716,1330.6666666666667,0.0,0
2,Full,18,300.66666666666663,2133.888155701313,1348.0,0.0,0
2,Full,19,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,Full,20,326.66666666666663,2184.412118207342,1308.5000000000002,0.0,0
2,Full,21,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,Full,22,336.33333333333337,2119.6657049017545,1309.6666666666667,0.0,0
2,Full,23,318.0,2168.747845347882,1311.8333333333335,0.0,0
2,Full,24,313.3333333333333,2110.9632984873397,1335.6666666666665,0.0,0
2,Full,25,301.0,2135.691706179367,1329.6666666666665,0.0,0
2,Full,26,294.6666666666667,2177.0850005100538,1325.0,0.0,0
2,Full,27,318.0,2168.747845347882,1311.8333333333335,0.0,0
2,Full,28,336.33333333333337,2119.6657049017545,1309.6666666666667,0.0,0
2,Full,29,296.66666666666663,2145.980130913358,1350.8333333333335,0.0,0
2,Full,30,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,Full,31,309.6666666666667,2089.9095050748833,1342.0,0.0,0
2,Full,32,323.3333333333333,2130.194097653409,1327.0000000000002,0.0,0
2,Full,33,288.6666666666667,2184.4621553514353,1288.6666666666665,0.0,0
2,-health,0,297.0,1982.3246670345634,1276.0,0.0,0
2,-health,1,291.3333333333333,1861.121080496507,1280.5,0.0,1
2,-health,2,302.0,1851.805702399086,1294.6666666666667,0.0,0
2,-health,3,291.3333333333333,1861.121080496507,1280.5,0.0,0
2,-health,4,306.0,1821.2579493476019,1296.5000000000002,0.0,0
2,-health,5,297.0,1982.3246670345634,1276.0,0.0,0
2,-health,6,308.66666666666663,1806.2601779035654,1314.0,0.0,0
2,-health,7,286.3333333333333,1934.72271836678,1288.1666666666667,0.0,0
2,-health,8,325.0,1934.7858953113216,1272.1666666666667,0.0,0
2,-health,9,289.3333333333333,1898.32506921069,1278.1666666666667,0.0,0
2,-health,10,291.3333333333333,1847.3549353885599,1306.166666666667,0.0,0
2,-health,11,343.66666666666663,2011.5358212372475,1271.8333333333335,0.0,0
2,-health,12,308.66666666666663,1829.8324049189014,1289.8333333333333,0.0,0
2,-health,13,302.0,1841.4583302031228,1298.8333333333333,0.0,0
2,-health,14,297.0,1982.3246670345634,1276.0,0.0,0
2,-health,15,308.66666666666663,1827.9599415301486,1293.3333333333333,0.0,0
2,-health,16,287.0,1904.9472570933065,1313.166666666667,0.0,0
2,-health,17,286.3333333333333,1934.72271836678,1288.1666666666667,0.0,0
2,-health,18,288.3333333333333,1886.233371244657,1291.8333333333335,0.0,0
2,-health,19,297.0,1982.3246670345634,1276.0,0.0,0
2,-health,20,288.3333333333333,1886.233371244657,1291.8333333333335,0.0,0
2,-health,21,303.0,1847.5653032466826,1293.0,0.0,0
2,-health,22,306.0,1821.2579493476019,1296.5000000000002,0.0,0
2,-health,23,287.0,1904.9472570933065,1313.166666666667,0.0,0
2,-health,24,299.66666666666663,1822.857265781248,1318.8333333333335,0.0,0
2,-health,25,290.0,1858.9850538013945,1311.3333333333333,0.0,0
2,-health,26,291.3333333333333,1847.5353201051869,1296.6666666666667,0.0,0
2,-health,27,291.3333333333333,1837.5299875116193,1312.1666666666667,0.0,0
2,-health,28,282.0,2016.1071800242378,1297.1666666666667,0.0,0
2,-health,29,302.0,1822.4506880085605,1302.9999999999998,0.0,0
2,-health,30,289.0,1874.1133825304744,1297.166666666667,0.0,0
2,-health,31,306.0,1821.2579493476019,1296.5000000000002,0.0,0
2,-health,32,289.3333333333333,1902.1215608953535,1278.0,0.0,0
2,-health,33,289.3333333333333,1879.7703289979024,1295.3333333333333,0.0,0
2,-health,34,289.3333333333333,1882.2225814052451,1280.6666666666667,0.0,0
2,-adaptW,0,290.33333333333337,2272.187398176443,1315.0,0.0,0
2,-adaptW,1,291.3333333333333,2254.2059803157395,1312.5000000000002,0.0,0
2,-adaptW,2,296.3333333333333,2201.9426946989643,1311.3333333333335,0.0,0
2,-adaptW,3,295.3333333333333,2229.227334575389,1309.8333333333335,0.0,0
2,-adaptW,4,296.3333333333333,2201.9426946989643,1311.3333333333335,0.0,0
