arm,lam,seed,delta_h_mean,delta_h_max,gini_delta_h,delta_h_low_mean,delta_h_high_mean,h_end_min_lowgrp,share_low
hard,1.0,21,0.07762155792995355,0.24316163634721655,0.6533912906085269,0.0,0.1552431158599071,0.36783207786804173,0.0
nohealth,1.0,21,-0.08242926967623133,0.14864325271061263,0.32435208853060926,-0.24821965692754883,0.08336111757508616,0.7211170860334891,0.54
full,1.0,22,0.0007129096265939272,0.2680482395861442,0.4259411127730923,-0.1460903306907688,0.14751614994395665,0.3137393541194783,0.3
hard,1.0,22,0.08812703814521741,0.2797515926570705,0.6491845021469149,0.0,0.17625407629043482,0.3137393541194783,0.0
nohealth,1.0,22,-0.08884874977393434,0.2380376653778592,0.34733546381075553,-0.3041946532593726,0.12649715371150394,0.7198010953352492,0.44
full,1.0,23,-0.09091077810195922,0.2037068666398265,0.3548821598074059,-0.2898887269663283,0.10806717076240982,0.7257623111290354,0.5
hard,1.0,23,0.07543882189921522,0.2332749969218152,0.630561403177742,0.0,0.15087764379843044,0.3158085206812917,0.0
nohealth,1.0,23,-0.09560244847470063,0.18235873712076267,0.37883671582943323,-0.28107039938786443,0.08986550243846317,0.707733534980755,0.54
full,1.0,24,-0.015425382469409377,0.2508487174303137,0.40449802877427676,-0.17499149776932205,0.14414073283050327,0.30667490420366283,0.16
hard,1.0,24,0.07355915700055013,0.2449868798544378,0.6142095823531002,0.0,0.14711831400110026,0.30667490420366283,0.0
nohealth,1.0,24,-0.10142389836555118,0.17882289092837322,0.35270158458384526,-0.2897238405068826,0.0868760437757802,0.7424828032836004,0.52
full,1.0,25,-0.08135466811044603,0.12493130206790393,0.44419734843725855,-0.2470546535386437,0.08434531731775163,0.3938311204652987,0.18
hard,1.0,25,0.04651176990258467,0.13780095129286563,0.611715039735601,0.0,0.09302353980516934,0.33441176769914865,0.0
nohealth,1.0,25,-0.14973622960405158,0.08178413451790045,0.4496376004508227,-0.33200595708347047,0.03253349787536723,0.7307013134864293,0.5
