seed,severity,t_inj,distractor,distractor_hit,fault_agv,fault_type,detected,faulty_ever,false_pos,distractor_warned,warn_t,latency_s,base_distractor_warned,base_n_warned,f1_base,f1_event,deg_pct,timeout,maint_enter,n_warned
23,121.0,113.02813101069721,0,0,7,thermal,1,1,0,0,388.0,274.9718689893028,0,0,357.0,357.0,0.0,0,None,1
24,121.0,118.33905982641127,3,0,6,thermal,1,1,0,0,401.0,282.66094017358876,0,0,275.0,275.0,0.0,0,None,1
25,121.0,147.5290805674759,8,0,1,thermal,1,1,0,0,416.0,268.4709194325241,0,0,356.0,356.0,0.0,0,None,1
26,121.0,151.22338466665016,9,0,4,thermal,1,1,0,0,414.0,262.7766153333498,0,0,285.0,315.0,10.526315789473683,0,None,1
27,121.0,108.89440278946503,7,0,6,thermal,1,1,0,0,393.0,284.10559721053494,0,0,473.0,458.0,-3.171247357293869,0,None,1
28,121.0,70.31683949673422,2,0,4,thermal,1,1,0,0,370.0,299.68316050326575,0,0,335.0,522.0,55.82089552238806,0,None,1
29,121.0,182.49538483598198,6,0,9,thermal,1,1,0,0,442.0,259.504615164018,0,0,348.0,348.0,0.0,0,None,1
30,121.0,61.746167360012564,5,0,7,thermal,1,1,0,0,361.0,299.2538326399874,0,0,302.0,604.0,100.0,0,None,1
1,125.0,155.54677075111826,6,0,5,thermal,1,1,0,0,392.0,236.45322924888174,0,0,316.0,431.0,36.392405063291136,0,None,1
2,125.0,193.120844657911,2,0,5,thermal,1,1,0,0,422.0,228.879155342089,0,0,325.0,325.0,0.0,0,None,1
3,125.0,185.8768136711957,1,0,0,thermal,1,1,0,0,399.0,213.1231863288043,0,0,307.0,417.0,35.83061889250814,0,None,1
4,125.0,113.08284053572515,8,1,8,thermal,1,1,0,0,363.0,249.91715946427485,0,0,394.0,623.0,58.121827411167516,0,None,1
5,125.0,154.8905664193652,6,0,8,thermal,1,1,0,0,391.0,236.1094335806348,0,0,334.0,599.0,79.34131736526946,0,None,1
6,125.0,185.08864129444243,8,1,8,thermal,1,1,0,0,398.0,212.91135870555757,0,0,297.0,299.0,0.6734006734006733,0,None,1
7,125.0,191.869604315151,5,0,1,thermal,1,1,0,0,417.0,225.130395684849,0,0,355.0,355.0,0.0,0,None,1
8,125.0,79.81826900987826,2,0,4,thermal,1,1,0,0,335.0,255.18173099012174,0,0,350.0,350.0,0.0,0,None,1
9,125.0,119.75551507723077,4,0,3,thermal,1,1,0,0,365.0,245.24448492276923,0,0,373.0,373.0,0.0,0,None,1
10,125.0,74.50504541067986,1,0,2,thermal,1,1,0,0,339.0,264.4949545893202,0,0,284.0,345.0,21.47887323943662,0,None,1
11,125.0,68.70486104173833,5,0,4,thermal,1,1,0,0,334.0,265.29513895826165,0,0,321.0,452.0,40.809968847352025,0,None,1
12,125.0,94.06166347237628,6,0,7,thermal,1,1,0,0,339.0,244.93833652762373,0,0,313.0,399.0,27.47603833865815,0,None,1
13,125.0,71.2789120621924,7,0,9,thermal,1,1,0,0,335.0,263.7210879378076,0,0,312.0,404.0,29.48717948717949,0,None,1
14,125.0,78.59243090870162,9,0,0,thermal,1,1,0,0,343.0,264.4075690912984,0,0,280.0,402.0,43.57142857142857,0,None,1
15,125.0,106.78484860352222,0,0,5,thermal,1,1,0,0,362.0,255.21515139647778,0,0,369.0,369.0,0.0,0,None,1
16,125.0,153.31221394264537,8,0,7,thermal,1,1,0,0,387.0,233.68778605735463,0,0,300.0,300.0,0.0,0,None,1
17,125.0,112.99555962424333,4,0,1,thermal,1,1,0,0,356.0,243.00444037575667,0,0,391.0,391.0,0.0,0,None,1
18,125.0,105.59004456158598,3,0,5,thermal,1,1,0,0,355.0,249.40995543841402,0,0,428.0,454.0,6.074766355140187,0,None,1
19,125.0,63.29074296900886,1,0,4,thermal,1,1,0,0,330.0,266.7092570309911,0,0,308.0,389.0,26.2987012987013,0,None,1
20,125.0,129.23430510384588,8,0,0,thermal,1,1,0,0,377.0,247.76569489615412,0,0,399.0,399.0,0.0,0,None,1
21,125.0,117.59945309682203,4,0,0,thermal,1,1,0,0,359.0,241.40054690317797,0,0,337.0,495.0,46.88427299703264,0,None,1
22,125.0,146.05307118028128,0,0,8,thermal,1,1,0,0,374.0,227.94692881971872,0,0,344.0,344.0,0.0,0,None,1
23,125.0,113.02813101069721,0,0,7,thermal,1,1,0,0,356.0,242.97186898930278,0,0,357.0,357.0,0.0,0,None,1
24,125.0,118.33905982641127,3,0,6,thermal,1,1,0,0,369.0,250.66094017358873,0,0,275.0,275.0,0.0,0,None,1
25,125.0,147.5290805674759,8,0,1,thermal,1,1,0,0,384.0,236.4709194325241,0,0,356.0,356.0,0.0,0,None,1
26,125.0,151.22338466665016,9,0,4,thermal,1,1,0,0,383.0,231.77661533334984,0,0,285.0,351.0,23.157894736842106,0,None,1
27,125.0,108.89440278946503,7,0,6,thermal,1,1,0,0,361.0,252.10559721053497,0,0,473.0,434.0,-8.24524312896406,0,None,1
28,125.0,70.31683949673422,2,0,4,thermal,1,1,0,0,337.0,266.68316050326575,0,0,335.0,562.0,67.76119402985074,0,None,1
29,125.0,182.49538483598198,6,0,9,thermal,1,1,0,0,411.0,228.50461516401802,0,0,348.0,348.0,0.0,0,None,1
