scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,EHCO,13,0,150.0,180.0,220.0,thermal,6,0.7,312.0,644.0,106.41025641025641,0,53,53,100.0,3,124.47669999892241,611.8527999969956,28000,444.0,8,592.0,1,0.5831582196555203,10
compound,A*-GA,13,0,150.0,180.0,220.0,thermal,6,0.7,294.0,1295.0,340.4761904761905,0,53,53,100.0,0,,0.0,0,435.0,1,None,1,0.5583267143561573,10
compound,noFLC,13,0,150.0,180.0,220.0,thermal,6,0.7,312.0,678.0,117.3076923076923,0,53,53,100.0,3,116.08899999919231,459.08240000062506,28000,444.0,8,592.0,1,0.5831582196555203,10
compound,moead-cl,13,0,150.0,180.0,220.0,thermal,6,0.7,312.0,617.0,97.75641025641025,0,53,53,100.0,3,548.7788000027649,3850.2659000041604,28000,444.0,8,592.0,1,0.5831582196555203,10
compound,EHCO,14,0,150.0,180.0,220.0,thermal,6,0.7,280.0,501.0,78.92857142857143,0,53,53,100.0,2,123.62709999797517,232.80079999676673,8000,442.0,5,497.0,1,0.5981526394237837,10
compound,A*-GA,14,0,150.0,180.0,220.0,thermal,6,0.7,296.0,828.0,179.72972972972974,0,53,53,100.0,0,,0.0,0,448.0,0,None,1,0.5600256680169529,10
compound,noFLC,14,0,150.0,180.0,220.0,thermal,6,0.7,280.0,712.0,154.2857142857143,0,53,53,100.0,3,125.64439999914612,459.7030000004452,28000,442.0,5,497.0,1,0.5825365912323011,10
compound,moead-cl,14,0,150.0,180.0,220.0,thermal,6,0.7,280.0,731.0,161.07142857142858,0,53,53,100.0,3,553.8197999994736,3911.404099995707,28000,442.0,5,None,1,0.566267737220536,10
compound,EHCO,15,0,150.0,180.0,220.0,thermal,6,0.7,369.0,682.0,84.82384823848238,0,53,53,100.0,3,120.84569999933592,602.8472000034526,28000,438.0,8,None,1,0.5658563591087586,10
compound,A*-GA,15,0,150.0,180.0,220.0,thermal,6,0.7,301.0,1109.0,268.43853820598,0,53,53,100.0,0,,0.0,0,458.0,8,None,1,0.5585429233995303,10
compound,noFLC,15,0,150.0,180.0,220.0,thermal,6,0.7,369.0,858.0,132.52032520325204,0,53,53,100.0,3,118.4527999976126,592.0224999936181,28000,448.0,9,None,1,0.5597478647095465,10
compound,moead-cl,15,0,150.0,180.0,220.0,thermal,6,0.7,369.0,934.0,153.11653116531164,0,53,53,100.0,3,554.9314000018057,3854.382000001351,28000,448.0,9,None,1,0.5591418682190514,10
compound,EHCO,16,0,150.0,180.0,220.0,thermal,6,0.7,300.0,920.0,206.66666666666669,0,53,53,100.0,3,117.04939999981434,617.6068000022497,28000,439.0,5,656.0,1,0.5709535525052867,10
compound,A*-GA,16,0,150.0,180.0,220.0,thermal,6,0.7,297.0,1742.0,486.5319865319865,0,53,53,100.0,0,,0.0,0,443.0,5,None,1,0.5582393611373418,10
compound,noFLC,16,0,150.0,180.0,220.0,thermal,6,0.7,300.0,928.0,209.33333333333331,0,53,53,100.0,3,115.10249999992084,605.4524000028323,28000,439.0,5,656.0,1,0.5709535525052867,10
compound,moead-cl,16,0,150.0,180.0,220.0,thermal,6,0.7,300.0,621.0,107.0,0,53,53,100.0,2,587.658399999782,1145.1282000016363,8000,439.0,5,None,1,0.5709535525052867,10
compound,EHCO,17,0,150.0,180.0,220.0,thermal,6,0.7,391.0,632.0,61.63682864450127,0,53,53,100.0,3,114.44320000009611,462.09400000225287,28000,455.0,5,538.0,1,0.598202423585111,10
compound,A*-GA,17,0,150.0,180.0,220.0,thermal,6,0.7,294.0,1092.0,271.42857142857144,0,53,53,100.0,0,,0.0,0,451.0,8,None,1,0.5585000635907816,10
compound,noFLC,17,0,150.0,180.0,220.0,thermal,6,0.7,391.0,749.0,91.56010230179028,0,53,53,100.0,3,113.52780000015628,457.4576999984856,28000,437.0,6,532.0,1,0.591966159072058,10
compound,moead-cl,17,0,150.0,180.0,220.0,thermal,6,0.7,391.0,1152.0,194.6291560102302,0,53,53,100.0,2,548.8776999991387,1104.309899998043,8000,437.0,6,None,1,0.5584433196716764,10
compound,EHCO,18,0,150.0,180.0,220.0,thermal,6,0.7,428.0,634.0,48.13084112149533,0,53,53,100.0,3,120.80879999848548,604.9558999948204,28000,426.0,2,501.0,1,0.598135709214017,10
compound,A*-GA,18,0,150.0,180.0,220.0,thermal,6,0.7,314.0,1045.0,232.8025477707006,0,53,53,100.0,0,,0.0,0,457.0,5,None,1,0.5586301563512905,10
compound,noFLC,18,0,150.0,180.0,220.0,thermal,6,0.7,428.0,1057.0,146.9626168224299,0,53,53,100.0,3,120.68580000050133,610.1328000004287,28000,435.0,3,None,1,0.5586440631373005,10
compound,moead-cl,18,0,150.0,180.0,220.0,thermal,6,0.7,428.0,571.0,33.41121495327103,0,53,53,100.0,3,554.4277000008151,3847.817900001246,28000,435.0,3,None,1,0.5982353936897373,10
compound,EHCO,19,0,150.0,180.0,220.0,thermal,6,0.7,308.0,920.0,198.70129870129873,0,53,53,100.0,3,120.33019999944372,600.4087000001164,28000,441.0,7,None,1,0.559216899666309,10
compound,A*-GA,19,0,150.0,180.0,220.0,thermal,6,0.7,298.0,840.0,181.87919463087246,0,53,53,100.0,0,,0.0,0,445.0,9,None,1,0.5597807402771707,10
compound,noFLC,19,0,150.0,180.0,220.0,thermal,6,0.7,308.0,920.0,198.70129870129873,0,53,53,100.0,3,113.68030000085128,459.56440000009025,28000,441.0,7,None,1,0.559216899666309,10
compound,moead-cl,19,0,150.0,180.0,220.0,thermal,6,0.7,308.0,656.0,112.98701298701299,0,53,53,100.0,3,546.7921000017668,3885.450199999468,28000,441.0,7,None,1,0.5746779558165234,10
compound,EHCO,20,0,150.0,180.0,220.0,thermal,6,0.7,399.0,1373.0,244.11027568922304,0,53,53,100.0,3,119.37559999933,503.71889999951236,28000,440.0,5,None,1,0.5583222612164317,10
compound,A*-GA,20,0,150.0,180.0,220.0,thermal,6,0.7,299.0,1012.0,238.46153846153845,0,53,53,100.0,0,,0.0,0,449.0,8,None,1,0.5586424371479306,10
compound,noFLC,20,0,150.0,180.0,220.0,thermal,6,0.7,399.0,684.0,71.42857142857143,0,53,53,100.0,3,118.57610000151908,599.2049000014958,28000,440.0,5,None,1,0.5638284384346388,10
