scenario,strategy,seed,instance,f1_base,f1_event,deg_pct,warn_t,min_h,n_replans
fault,stdA*,22,4,344.0,328.0,-4.651162790697675,148.0,0.41711524981433135,1
fault,stdA*,23,4,357.0,374.0,4.761904761904762,151.0,0.39532200057009065,1
fault,stdA*,24,4,275.0,290.0,5.454545454545454,151.0,0.46451272724107523,1
fault,stdA*,25,4,356.0,284.0,-20.224719101123593,156.0,0.4543830483683737,1
fault,stdA*,26,4,285.0,317.0,11.228070175438596,153.0,0.44914083985513226,1
fault,stdA*,27,4,473.0,360.0,-23.890063424947147,144.0,0.41032216727344245,1
fault,stdA*,28,4,335.0,353.0,5.3731343283582085,153.0,0.40220956360231047,1
fault,stdA*,29,4,348.0,290.0,-16.666666666666664,157.0,0.4282788998551026,1
fault,stdA*,30,4,302.0,329.0,8.940397350993377,153.0,0.4220457262022573,1
congestion,nocostadapt,1,0,316.0,638.0,101.8987341772152,None,0.6772350422367623,1
congestion,nocostadapt,2,0,325.0,781.0,140.30769230769232,None,0.6629105803413137,1
congestion,nocostadapt,3,0,307.0,552.0,79.80456026058633,None,0.6590760583050794,1
congestion,nocostadapt,4,0,394.0,613.0,55.58375634517766,None,0.6653736383726654,1
congestion,nocostadapt,5,0,334.0,642.0,92.21556886227546,None,0.6440167019710629,1
congestion,nocostadapt,6,0,297.0,731.0,146.12794612794613,None,0.6610175546255341,1
congestion,nocostadapt,7,0,355.0,733.0,106.47887323943661,None,0.6645846025442719,1
congestion,nocostadapt,8,0,350.0,553.0,57.99999999999999,None,0.6658247454002505,1
congestion,nocostadapt,9,0,373.0,705.0,89.00804289544236,None,0.6617263286752806,1
congestion,nocostadapt,10,0,284.0,620.0,118.30985915492957,None,0.6462741630586991,1
congestion,nocostadapt,11,0,321.0,790.0,146.10591900311528,None,0.6439667885308211,1
congestion,nocostadapt,12,0,313.0,584.0,86.5814696485623,None,0.6560946216854293,1
congestion,nocostadapt,13,0,312.0,656.0,110.25641025641026,None,0.6482850203184357,1
congestion,nocostadapt,14,0,280.0,733.0,161.78571428571428,None,0.6528434810894435,1
