variant,seed,agv,soh,task_count,band
GA-SA-multiSoH,3,1,0.855,6,mid
GA-SA-multiSoH,3,2,0.8292,6,mid
GA-SA-multiSoH,3,3,0.876,5,mid
GA-SA-multiSoH,3,4,0.9214,5,high
GA-SA-multiSoH,3,5,0.9869,4,high
GA-SA-multiSoH,3,6,0.7853,5,low
GA-SA-multiSoH,3,7,0.8946,5,mid
GA-SA-multiSoH,3,8,0.9089,4,high
GA-SA-multiSoH,3,9,0.7878,5,low
GA-SA-multiSoH,4,0,0.9707,5,high
GA-SA-multiSoH,4,1,0.8431,6,mid
GA-SA-multiSoH,4,2,0.8291,6,mid
GA-SA-multiSoH,4,3,0.9367,3,high
GA-SA-multiSoH,4,4,0.9952,5,high
GA-SA-multiSoH,4,5,0.8109,5,mid
GA-SA-multiSoH,4,6,0.9907,6,high
GA-SA-multiSoH,4,7,0.9787,6,high
GA-SA-multiSoH,4,8,0.7533,4,low
GA-SA-multiSoH,4,9,0.8827,4,mid
GA-SA-multiSoH,5,0,0.8957,5,mid
GA-SA-multiSoH,5,1,0.7704,5,low
GA-SA-multiSoH,5,2,0.8305,5,mid
GA-SA-multiSoH,5,3,0.9923,6,high
GA-SA-multiSoH,5,4,0.9693,5,high
GA-SA-multiSoH,5,5,0.9533,3,high
GA-SA-multiSoH,5,6,0.8177,5,mid
GA-SA-multiSoH,5,7,0.8479,5,mid
GA-SA-multiSoH,5,8,0.903,5,high
GA-SA-multiSoH,5,9,0.7182,6,low
GA-SA-multiSoH,6,0,0.7155,5,low
GA-SA-multiSoH,6,1,0.9551,6,high
GA-SA-multiSoH,6,2,0.7027,6,low
GA-SA-multiSoH,6,3,0.9936,5,high
GA-SA-multiSoH,6,4,0.9481,5,high
GA-SA-multiSoH,6,5,0.9356,4,high
GA-SA-multiSoH,6,6,0.7144,4,low
GA-SA-multiSoH,6,7,0.7622,5,low
GA-SA-multiSoH,6,8,0.955,5,high
GA-SA-multiSoH,6,9,0.8297,5,mid
GA-SA-multiSoH,7,0,0.7909,6,low
GA-SA-multiSoH,7,1,0.7835,4,low
GA-SA-multiSoH,7,2,0.7765,4,low
GA-SA-multiSoH,7,3,0.8335,5,mid
GA-SA-multiSoH,7,4,0.8514,5,mid
GA-SA-multiSoH,7,5,0.866,6,mid
GA-SA-multiSoH,7,6,0.9987,5,high
GA-SA-multiSoH,7,7,0.9378,5,high
GA-SA-multiSoH,7,8,0.8867,5,mid
