variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
-health,14,1.0,287.66666666666663,2121.4596291976472,-0.09248188392772859,0.2001608737127194,0.4822905376731581,0.7353921366451932,0.7598189937752238
-health,14,2.0,287.66666666666663,2121.4596291976472,-0.08534718280639306,0.20056486107086435,0.4719189235765351,0.7254685042020157,0.7526842926538881
hard-only,14,0.0,378.0,2727.59246653385,-0.10355709620339808,0.224517339421757,0.44541876189792307,0.7469014339476241,0.7708942060508932
hard-only,14,1.0,378.0,2727.59246653385,-0.0966484129561649,0.22497169362687097,0.4367688161465282,0.7357846972690936,0.76398552280366
hard-only,14,2.0,378.0,2727.59246653385,-0.08973972970893186,0.22542604783198417,0.4277894031968137,0.7230265700085262,0.7570768395564269
Full,15,0.0,384.0,3188.4952227755402,0.016062381634563094,0.2334484743683355,0.34503369629423464,0.31282807356257686,0.7130435447126872
Full,15,1.0,384.0,3188.4952227755402,0.019764035436045723,0.2344443549998273,0.35005590859719726,0.31282807356257686,0.7093418909112045
Full,15,2.0,384.0,3188.4952227755402,0.023465689237528554,0.23544023563131866,0.3551814607960364,0.31282807356257686,0.7056402371097218
-health,15,0.0,291.6666666666667,2034.5292023692539,-0.039697076361504505,0.1999564255504609,0.340264902698451,0.7408954693714874,0.7688030027087549
-health,15,1.0,291.6666666666667,2034.5292023692539,-0.033774268544338015,0.20086686280291477,0.33767322424335044,0.7334108171209004,0.7628801948915884
-health,15,2.0,291.6666666666667,2034.5292023692539,-0.027851460727171606,0.2017773000553682,0.337079748103043,0.7245815825593093,0.756957387074422
hard-only,15,0.0,351.3333333333333,2769.4458743864125,-0.04099678952403577,0.22601686651030117,0.36549177753933515,0.7331180872998239,0.7701027158712861
hard-only,15,1.0,351.3333333333333,2769.4458743864125,-0.035490725212098416,0.22703561576686992,0.36622662810752704,0.7299386329481792,0.7645966515593486
hard-only,15,2.0,351.3333333333333,2769.4458743864125,-0.02998466090016102,0.22805436502343857,0.36748640612681793,0.7223209287266157,0.7590905872474113
Full,16,0.0,376.3333333333333,3229.200716636356,-0.10104164285898638,0.2628573492633921,0.3645772081479237,0.7266321421615711,0.7629729465289191
Full,16,1.0,376.3333333333333,3229.200716636356,-0.09421178687622223,0.26312878500131565,0.35519942243479496,0.7263607064236476,0.7561430905461549
Full,16,2.0,376.3333333333333,3229.200716636356,-0.08738193089345832,0.2634002207392393,0.34554662069191444,0.7260892706857239,0.7493132345633908
-health,16,0.0,330.0,2091.287906982822,-0.0983137417068155,0.24839251313162602,0.3476075847497764,0.7365556482751918,0.7602450453767482
-health,16,1.0,330.0,2091.287906982822,-0.09102760796895595,0.24864651627418533,0.336240054160045,0.7275850067314166,0.7529589116388885
-health,16,2.0,330.0,2091.287906982822,-0.0837414742310965,0.24890051941674585,0.3244123285187539,0.7133768152329946,0.7456727779010291
hard-only,16,0.0,307.0,3008.848780431367,-0.09533310183386964,0.2288567506460053,0.34202552922352947,0.7470298502125808,0.7572644055038024
hard-only,16,1.0,307.0,3008.848780431367,-0.08784263976571305,0.229089317139186,0.3297413044755466,0.7392779258884916,0.7497739434356456
hard-only,16,2.0,307.0,3008.848780431367,-0.0803521776975564,0.2293218836323666,0.3169171288093633,0.7262557562000078,0.742283481367489
Full,17,0.0,615.6666666666666,4727.023778457946,-0.01680329340760032,0.2818630643984833,0.6238856005843343,0.3048486056599877,0.6088223654905041
Full,17,1.0,615.6666666666666,4727.023778457946,-0.013054354906932141,0.2819056901535705,0.6203307897381578,0.3048486056599877,0.6050734269898359
Full,17,2.0,615.6666666666666,4727.023778457946,-0.009305416406264389,0.28194831590865743,0.6138616313416494,0.3048486056599877,0.6013244884891682
-health,17,0.0,271.0,2063.0093042072913,-0.17478177699226863,0.21776526049152978,0.3675396994580391,0.7325439945047099,0.7668008490751724
-health,17,1.0,271.0,2063.0093042072913,-0.16607589781585677,0.21779665042715157,0.3709271679237769,0.7196700101485948,0.7580949698987605
-health,17,2.0,271.0,2063.0093042072913,-0.15737001863944475,0.21782804036277326,0.37456116243254,0.7067960257924795,0.7493890907223485
hard-only,17,0.0,276.0,2849.427454845829,-0.17384926209083104,0.2295368174821384,0.36700223616360605,0.7572546736020207,0.7658683341737349
hard-only,17,1.0,276.0,2849.427454845829,-0.1650803674406028,0.22957004443087015,0.3699441376737478,0.7439107053224887,0.7570994395235066
hard-only,17,2.0,276.0,2849.427454845829,-0.15631147279037466,0.22960327137960157,0.3731015728486937,0.7297060865760999,0.7483305448732784
Full,18,0.0,521.0,3600.2946310397924,0.07346835697067686,0.21464459469542385,0.4925434331302019,0.3177827449601506,0.6810396113174177
