variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
Full,18,1.0,521.0,3600.2946310397924,0.07646006258772647,0.2154875896890388,0.4968650258894105,0.3177827449601506,0.6780479057003683
Full,18,2.0,521.0,3600.2946310397924,0.07945176820477581,0.21633058468265298,0.5010984680192547,0.3177827449601506,0.675056200083319
-health,18,0.0,355.00000000000006,2024.1879192029508,-0.007684021268079122,0.2008382625468096,0.5036327181114424,0.7462919613414698,0.7621919895561738
-health,18,1.0,355.00000000000006,2024.1879192029508,-0.00244627713762241,0.20163364916858162,0.49595490618494154,0.740542290534732,0.7569542454257172
-health,18,2.0,355.00000000000006,2024.1879192029508,0.0027914669928344573,0.20242903579035298,0.47978611669210225,0.7345748820951419,0.7517165012952602
hard-only,18,0.0,338.6666666666667,2871.7308548563196,-0.00856502353128009,0.2265040411107434,0.4497846833887764,0.7240871067234581,0.7630729918193748
hard-only,18,1.0,338.6666666666667,2871.7308548563196,-0.003520859080062122,0.22739583677136466,0.44383430205119456,0.7193199459138037,0.7580288273681568
hard-only,18,2.0,338.6666666666667,2871.7308548563196,0.0015233053711560473,0.2282876324319869,0.431605136003399,0.7145527851041482,0.7529846629169387
Full,19,0.0,349.99999999999994,2800.479424580926,-0.040934372628449324,0.18245511647124812,0.39770354896129834,0.7500335594476605,0.7721332727123169
Full,19,1.0,349.99999999999994,2800.479424580926,-0.03555733179078739,0.1837417046197113,0.4069476548559321,0.743783416938291,0.766756231874655
Full,19,2.0,349.99999999999994,2800.479424580926,-0.030180290953125733,0.18502829276817423,0.4144794366369966,0.7375332744289215,0.7613791910369934
-health,19,0.0,285.0,2159.277284111846,-0.039169979300733015,0.1750426067507419,0.3417499152558374,0.7496168388629902,0.7703688793846007
-health,19,1.0,285.0,2159.277284111846,-0.033473855325980004,0.17608762011250367,0.35049692964044343,0.7438732209703535,0.7646727554098477
-health,19,2.0,285.0,2159.277284111846,-0.02777773135122715,0.17713263347426578,0.36175607947338273,0.736755216217081,0.7589766314350949
hard-only,19,0.0,334.3333333333333,2675.6143740110583,-0.040434204721232714,0.18626422454875446,0.35621227009884704,0.7447000710359782,0.7716331048051004
hard-only,19,1.0,334.3333333333333,2675.6143740110583,-0.034720065347394205,0.18755870431384425,0.3686615124378354,0.7349880551623468,0.7659189654312618
hard-only,19,2.0,334.3333333333333,2675.6143740110583,-0.02900592597355558,0.1888531840789337,0.37738951003163557,0.7252760392887158,0.7602048260574232
Full,20,0.0,714.3333333333333,4935.2929385363705,-0.22452431518904295,0.15899775858230158,0.29202672120361717,0.7031848835067097,0.7613596235499096
Full,20,1.0,714.3333333333333,4935.2929385363705,-0.218319131059155,0.16281078035087682,0.28921705032031264,0.6958237197776315,0.7551544394200217
Full,20,2.0,714.3333333333333,4935.2929385363705,-0.212113946929267,0.16662380211945227,0.2863432276123947,0.6884625560485531,0.7489492552901337
-health,20,0.0,315.0,2097.3809683888317,-0.22698271841683,0.12321589610435546,0.32671022495395396,0.7371883285716815,0.7638180267776967
-health,20,1.0,315.0,2097.3809683888317,-0.2171159045145928,0.12631185409104095,0.3234107569122697,0.7238114334317075,0.7539512128754595
-health,20,2.0,315.0,2097.3809683888317,-0.20724909061235564,0.12940781207772667,0.318260350202795,0.7081081223392619,0.7440843989732224
hard-only,20,0.0,310.6666666666667,2953.231714835364,-0.22804122331373775,0.11930704103800871,0.2990424307088091,0.735842765121646,0.7648765316746043
hard-only,20,1.0,310.6666666666667,2953.231714835364,-0.2181311833610283,0.12233465871991067,0.2974829512381265,0.7197841765380621,0.754966491721895
hard-only,20,2.0,310.6666666666667,2953.231714835364,-0.20822114340831926,0.12536227640181286,0.2958169763524374,0.7037255879544793,0.7450564517691859
Full,21,0.0,726.0,5017.72260482845,-0.056408231869906414,0.268878559737584,0.3326951571564558,0.4466398318045466,0.7291786016998951
Full,21,1.0,726.0,5017.72260482845,-0.05329596247327199,0.26901111852877435,0.32433098324967213,0.4466398318045466,0.7260663323032608
Full,21,2.0,726.0,5017.72260482845,-0.05018369307663758,0.2691436773199646,0.31597530838189014,0.4466398318045466,0.7229540629066264
-health,21,0.0,335.66666666666663,1964.6881024422735,-0.08979543840634922,0.23954049575855563,0.2985918155598357,0.74222794178555,0.762565808236338
-health,21,1.0,335.66666666666663,1964.6881024422735,-0.08276822162425365,0.23965571695665455,0.2876361014788198,0.7290948422111123,0.7555385914542424
-health,21,2.0,335.66666666666663,1964.6881024422735,-0.07574100484215848,0.23977093815475325,0.27619468471853237,0.7159617426366749,0.7485113746721472
hard-only,21,0.0,344.6666666666667,2815.1173686397365,-0.09237481561708814,0.26217164168226526,0.2948243911371331,0.7179032868322164,0.765145185447077
hard-only,21,1.0,344.6666666666667,2815.1173686397365,-0.08567014341256739,0.2622993368847858,0.2899197143239114,0.7034837667770049,0.7584405132425561
hard-only,21,2.0,344.6666666666667,2815.1173686397365,-0.0789654712080464,0.26242703208730667,0.28559968349557163,0.6890642467217929,0.751735841038035
Full,22,0.0,525.6666666666666,5052.502429459162,-0.06766455548676777,0.209322370095395,0.4571919665599993,0.33509890655115804,0.6676843483903693
Full,22,1.0,525.6666666666666,5052.502429459162,-0.06247344796003237,0.21085734468020112,0.45963200769666446,0.33509890655115804,0.6624932408636339
Full,22,2.0,525.6666666666666,5052.502429459162,-0.057282340433296865,0.21239231926500834,0.4627547819302209,0.33509890655115804,0.6573021333368985
-health,22,0.0,360.3333333333333,2282.080975085136,-0.17081829066104653,0.21465546455571405,0.3119196263049966,0.7257356341325437,0.7708380835646481
-health,22,1.0,360.3333333333333,2282.080975085136,-0.16227438150602583,0.21619734757460007,0.31518274904603283,0.72039011749998,0.7622941744096274
