scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,EHCO,43,0,150.0,180.0,220.0,thermal,6,0.7,291.0,455.0,56.3573883161512,0,53,53,100.0,2,123.0305999997654,235.76710000270396,8000,474.0,6,None,1,0.5998975022755716,10
compound,A*-GA,43,0,150.0,180.0,220.0,thermal,6,0.7,280.0,765.0,173.21428571428572,0,53,53,100.0,0,,0.0,0,449.0,7,None,1,0.56138972765705,10
compound,noFLC,43,0,150.0,180.0,220.0,thermal,6,0.7,291.0,637.0,118.90034364261169,0,53,53,100.0,3,118.5457999999926,649.0296999982093,28000,474.0,6,None,1,0.5720553584507729,10
compound,moead-cl,43,0,150.0,180.0,220.0,thermal,6,0.7,291.0,965.0,231.61512027491412,0,53,53,100.0,2,549.9482999985048,1096.127199998591,8000,474.0,6,None,1,0.5592890084540415,10
compound,EHCO,44,0,150.0,180.0,220.0,thermal,6,0.7,305.0,1364.0,347.21311475409834,0,53,53,100.0,3,141.54839999901014,733.8148999988334,28000,462.0,9,None,1,0.5582657797870144,10
compound,A*-GA,44,0,150.0,180.0,220.0,thermal,6,0.7,308.0,2332.0,657.1428571428571,1,51,53,96.22641509433963,0,,0.0,0,435.0,7,None,1,0.5577987347850869,10
compound,noFLC,44,0,150.0,180.0,220.0,thermal,6,0.7,305.0,1634.0,435.73770491803276,0,53,53,100.0,2,135.06510000297567,255.25130000096397,8000,462.0,9,None,1,0.5582748513143313,10
compound,moead-cl,44,0,150.0,180.0,220.0,thermal,6,0.7,305.0,1036.0,239.67213114754097,0,53,53,100.0,3,550.8152000002156,3851.42850000193,28000,462.0,9,None,1,0.5587087880144386,10
compound,EHCO,45,0,150.0,180.0,220.0,thermal,6,0.7,342.0,1104.0,222.80701754385964,0,53,53,100.0,2,122.30990000171005,241.2854000031075,8000,450.0,1,None,1,0.5585499886956126,10
compound,A*-GA,45,0,150.0,180.0,220.0,thermal,6,0.7,304.0,840.0,176.3157894736842,0,53,53,100.0,0,,0.0,0,459.0,4,None,1,0.5600800326006709,10
compound,noFLC,45,0,150.0,180.0,220.0,thermal,6,0.7,342.0,1084.0,216.95906432748538,0,53,53,100.0,3,120.91990000044461,515.7188000011956,28000,450.0,1,None,1,0.5584845211736466,10
compound,moead-cl,45,0,150.0,180.0,220.0,thermal,6,0.7,342.0,961.0,180.99415204678363,0,53,53,100.0,2,546.4127999985067,1104.1373999978532,8000,450.0,1,None,1,0.559000551688722,10
compound,EHCO,46,0,150.0,180.0,220.0,thermal,6,0.7,300.0,670.0,123.33333333333334,0,53,53,100.0,3,125.85519999993267,723.1225000032282,28000,437.0,4,639.0,1,0.5750793924307026,10
