scenario,strategy,beta,seed,instance,t_inj,fault_type,f1_base,f1_event,deg_pct,timeout,response_ms,warn_t,lead_time,warn_agv,detected,false_pos,maint_enter,min_h,replan_applied
fault,EHCO,0.0005,10,3,87.05594713886512,vibration,284.0,278.0,-2.112676056338028,0,375.05910000254516,224.0,136.94405286113488,4,1,0,None,0.5401393487838045,1
fault,EHCO,0.0005,11,3,87.05594713886512,vibration,321.0,352.0,9.657320872274143,0,416.24679999949876,214.0,126.94405286113488,2,1,0,None,0.4423504784248531,1
fault,EHCO,0.0005,12,3,87.05594713886512,vibration,313.0,356.0,13.738019169329075,0,410.8083000028273,221.0,133.94405286113488,7,1,0,None,0.4382020563070974,1
fault,EHCO,0.0005,13,3,87.05594713886512,vibration,312.0,331.0,6.089743589743589,0,435.18219999896246,214.0,126.94405286113488,9,1,0,None,0.46368140889758014,1
fault,EHCO,0.0005,14,3,87.05594713886512,vibration,280.0,333.0,18.928571428571427,0,409.2201000021305,224.0,136.94405286113488,0,1,0,None,0.4627510330547051,1
fault,EHCO,0.0005,15,3,87.05594713886512,vibration,369.0,307.0,-16.802168021680217,0,455.52730000054,201.0,113.94405286113488,4,1,0,None,0.4690074414483662,1
fault,EHCO,0.0005,16,3,87.05594713886512,vibration,300.0,373.0,24.333333333333336,0,420.72680000273976,207.0,119.94405286113488,9,1,0,288.0,0.44596463739012315,1
fault,EHCO,0.0005,17,3,87.05594713886512,vibration,391.0,499.0,27.621483375959077,0,395.4986999997345,217.0,129.94405286113488,4,1,0,None,0.36912070257890167,1
fault,EHCO,0.0005,18,3,87.05594713886512,vibration,428.0,363.0,-15.186915887850466,0,454.8632000005455,212.0,124.94405286113488,5,1,0,277.0,0.4552269695068887,1
fault,EHCO,0.0005,19,3,87.05594713886512,vibration,308.0,304.0,-1.2987012987012987,0,406.15859999888926,216.0,128.94405286113488,2,1,0,None,0.4844299276467575,1
fault,EHCO,0.0005,20,3,87.05594713886512,vibration,399.0,436.0,9.273182957393484,0,441.52129999929457,200.0,112.94405286113488,3,1,0,None,0.387690299961188,1
fault,EHCO,0.0005,21,3,87.05594713886512,vibration,337.0,318.0,-5.637982195845697,0,242.05679999795393,231.0,143.94405286113488,2,1,0,315.0,0.4999306125976522,1
fault,EHCO,0.0005,22,3,87.05594713886512,vibration,344.0,344.0,0.0,0,415.5308999979752,207.0,119.94405286113488,4,1,0,266.0,0.47424491600813196,1
fault,EHCO,0.0005,23,3,87.05594713886512,vibration,357.0,328.0,-8.123249299719888,0,449.00520000010147,210.0,122.94405286113488,3,1,0,279.0,0.48474207619035553,1
fault,EHCO,0.0005,24,3,87.05594713886512,vibration,275.0,275.0,0.0,0,240.7415999987279,224.0,136.94405286113488,0,1,0,None,0.5288779373859285,1
fault,EHCO,0.0005,25,3,87.05594713886512,vibration,356.0,349.0,-1.9662921348314606,0,423.7162999997963,214.0,126.94405286113488,5,1,0,343.0,0.46643388045993667,1
fault,EHCO,0.0005,26,3,87.05594713886512,vibration,285.0,461.0,61.75438596491228,0,371.61240000205,209.0,121.94405286113488,4,1,0,None,0.38097404228015763,1
fault,EHCO,0.0005,27,3,87.05594713886512,vibration,473.0,333.0,-29.59830866807611,0,445.60980000096606,217.0,129.94405286113488,5,1,0,272.0,0.4977355658312059,1
fault,EHCO,0.0005,28,3,87.05594713886512,vibration,335.0,340.0,1.4925373134328357,0,433.7773000006564,213.0,125.94405286113488,5,1,0,245.0,0.47259979383848005,1
fault,EHCO,0.0005,29,3,87.05594713886512,vibration,348.0,404.0,16.091954022988507,0,398.93020000090473,216.0,128.94405286113488,1,1,0,None,0.40571891351081496,1
fault,EHCO,0.0005,30,3,87.05594713886512,vibration,302.0,329.0,8.940397350993377,0,394.42849999977625,217.0,129.94405286113488,6,1,0,None,0.4696747355641445,1
fault,EHCO,0.0005,1,4,64.21579955915043,vibration,316.0,356.0,12.658227848101266,0,443.61790000039036,202.0,137.7842004408496,7,1,0,273.0,0.47406213959215543,1
fault,EHCO,0.0005,2,4,64.21579955915043,vibration,325.0,358.0,10.153846153846153,0,468.2601999993494,192.0,127.78420044084957,4,1,0,243.0,0.45610665647185117,1
fault,EHCO,0.0005,3,4,64.21579955915043,vibration,307.0,340.0,10.749185667752444,0,459.75219999672845,194.0,129.7842004408496,0,1,0,None,0.44648633263557636,1
fault,EHCO,0.0005,4,4,64.21579955915043,vibration,394.0,305.0,-22.588832487309645,0,437.6929000027303,201.0,136.7842004408496,9,1,0,None,0.4680860912369712,1
fault,EHCO,0.0005,5,4,64.21579955915043,vibration,334.0,343.0,2.694610778443114,0,476.02719999849796,194.0,129.7842004408496,2,1,0,None,0.43431546105099933,1
fault,EHCO,0.0005,6,4,64.21579955915043,vibration,297.0,367.0,23.56902356902357,0,416.5063000000373,205.0,140.7842004408496,1,1,0,None,0.430649832678115,1
fault,EHCO,0.0005,7,4,64.21579955915043,vibration,355.0,355.0,0.0,0,431.47980000139796,198.0,133.7842004408496,1,1,0,344.0,0.44704865678525263,1
fault,EHCO,0.0005,8,4,64.21579955915043,vibration,350.0,354.0,1.1428571428571428,0,455.40360000086366,187.0,122.78420044084957,1,1,0,None,0.4461381681548025,1
fault,EHCO,0.0005,9,4,64.21579955915043,vibration,373.0,389.0,4.289544235924933,0,435.6634999967355,185.0,120.78420044084957,1,1,0,241.0,0.438417292814563,1
fault,EHCO,0.0005,10,4,64.21579955915043,vibration,284.0,282.0,-0.7042253521126761,0,420.2304999998887,193.0,128.7842004408496,6,1,0,243.0,0.5157690099931443,1
fault,EHCO,0.0005,11,4,64.21579955915043,vibration,321.0,403.0,25.54517133956386,0,404.7036999982083,195.0,130.7842004408496,4,1,0,None,0.40110078176536307,1
fault,EHCO,0.0005,12,4,64.21579955915043,vibration,313.0,351.0,12.140575079872203,0,454.60210000237566,183.0,118.78420044084957,9,1,0,None,0.43931563246307626,1
fault,EHCO,0.0005,13,4,64.21579955915043,vibration,312.0,345.0,10.576923076923077,0,448.743300003116,206.0,141.7842004408496,1,1,0,288.0,0.4808825755081214,1
fault,EHCO,0.0005,14,4,64.21579955915043,vibration,280.0,334.0,19.28571428571429,0,411.1664000010933,202.0,137.7842004408496,4,1,0,277.0,0.4831633172756745,1
fault,EHCO,0.0005,15,4,64.21579955915043,vibration,369.0,366.0,-0.8130081300813009,0,458.5143000003882,198.0,133.7842004408496,8,1,0,None,0.419967955682957,1
fault,EHCO,0.0005,16,4,64.21579955915043,vibration,300.0,317.0,5.666666666666666,0,446.70119999864255,196.0,131.7842004408496,0,1,0,287.0,0.4970140367531459,1
fault,EHCO,0.0005,17,4,64.21579955915043,vibration,391.0,300.0,-23.273657289002557,0,432.1782000006351,187.0,122.78420044084957,5,1,0,None,0.485491333437433,1
fault,EHCO,0.0005,18,4,64.21579955915043,vibration,428.0,423.0,-1.1682242990654206,0,451.7541999994137,204.0,139.7842004408496,2,1,0,None,0.39055877220882645,1
fault,EHCO,0.0005,19,4,64.21579955915043,vibration,308.0,328.0,6.493506493506493,0,405.68139999959385,207.0,142.7842004408496,4,1,0,None,0.45173923506827574,1
fault,EHCO,0.0005,20,4,64.21579955915043,vibration,399.0,328.0,-17.794486215538846,0,429.9288999973214,197.0,132.7842004408496,8,1,0,265.0,0.48176529921238015,1
fault,EHCO,0.0005,21,4,64.21579955915043,vibration,337.0,377.0,11.869436201780417,0,413.48789999756264,209.0,144.7842004408496,1,1,0,344.0,0.4608796981646513,1
fault,EHCO,0.0005,22,4,64.21579955915043,vibration,344.0,430.0,25.0,0,414.2728000006173,192.0,127.78420044084957,3,1,0,None,0.38665738591552157,1
