seed,algo,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
9,MOEA/D,287.33333333333337,2279.6457255513383,1343.6666666666665,0.0,0.6732354593738032,0.5968880973202411,73,20000,3.09,0.09071573170099496,0.24586717309764516,0.40909179155122244,82.53980926552117,0.7940000000000006
9,GA-SA,298.66666666666663,2395.17768968354,1310.0,0.0,0.4702415256625823,0.49538813131298776,1,20000,6.427,0.08954849726013446,0.2476640168579336,0.3345188560787915,84.3783178959532,0.8160000000000006
9,A*-GA,299.99999999999994,2475.9076812473613,1402.1666666666665,0.0,0.13409004993518442,1.0,12,20000,1.115,0.09387001794863344,0.24047890419898565,0.35836035080594075,82.86861816294483,0.8180000000000006
9,LWC,314.33333333333337,2284.199870110531,1353.8333333333335,0.0,0.7584970100814723,0.7448301462258053,40,20000,0.804,0.08982927831805368,0.22078816303200843,0.3622318248762957,82.43861931776503,0.8680000000000007
10,AW-NSGA-II,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.3081348409676504,0.17781741189762412,33,20000,0.812,0.10585316812384675,0.21426888442478575,0.3393025348178247,81.91197502700932,0.7760000000000006
10,NSGA-II-2obj,309.0,2072.654511062235,1251.6666666666665,0.0,0.15664158448355842,0.6929893920202195,11,20000,0.87,0.10877125812583546,0.20036938089397405,0.2938953040457255,80.01933237346122,0.8520000000000006
10,NSGA-II-3obj,336.3333333333333,2208.1291761115294,1148.3333333333335,0.0,0.5924363452904104,0.6553099030204004,33,20000,0.798,0.1038419112269359,0.19452748127075248,0.3108658934157251,84.7022684402097,0.9040000000000007
10,NSGA-III,318.0,2057.5117976134343,1189.3333333333333,0.0,0.48697352476802463,0.399125267461675,8,20000,0.851,0.10713439911182394,0.21086259461328594,0.2891936036226874,80.197907723186,0.8640000000000007
10,MOEA/D,270.3333333333333,2024.4407825723208,1174.6666666666665,0.0,0.602259706284014,0.5212152266096134,95,20000,3.125,0.10763816774651533,0.18999586757357978,0.27426716293375275,82.3152291783451,0.7360000000000005
10,GA-SA,277.0,2119.1431634293035,1164.1666666666667,0.0,0.3380943167750589,0.25776297942191034,1,20000,6.374,0.10435542514317304,0.24179654501750392,0.376964889616636,84.60776409308912,0.7400000000000005
10,A*-GA,274.66666666666663,2143.3411000499045,1248.8333333333335,0.0,0.080768685067735,1.0,1,20000,1.128,0.11081091366408433,0.21382950757988362,0.29818730898066037,80.98346990503312,0.7640000000000006
10,LWC,286.0,2186.984184841021,1146.166666666667,0.0,0.7623116181122038,0.7591160083655654,57,20000,0.82,0.10539479081675066,0.21031669656305085,0.2515490103072191,85.39639981259253,0.7680000000000006
11,AW-NSGA-II,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.5900093243866569,0.5287129643742845,39,20000,0.846,0.08746625086346656,0.1996793528790507,0.41221135947943255,86.70862057947855,1.2379999999999922
11,NSGA-II-2obj,347.0,2398.6244806920004,1437.1666666666667,0.0,0.19063813939883137,0.656267301669917,10,20000,0.907,0.09697125153496525,0.19020269109557486,0.3307817880816064,85.6544119576365,0.9660000000000007
11,NSGA-II-3obj,338.0,2228.151585219652,1371.6666666666667,0.0,0.8025345666078172,0.6630246365860761,77,20000,0.771,0.09648371996385893,0.18549754674104657,0.33390938067104003,85.48847436618499,0.9540000000000007
11,NSGA-III,308.33333333333337,2382.2293413984225,1400.5,0.0,0.41834024175411055,0.35339589217284695,33,20000,0.853,0.09721588027258568,0.18846523370979118,0.32893437760785904,83.34153429958647,0.8500000000000006
11,MOEA/D,293.6666666666667,2282.300014837414,1327.0000000000002,0.0,0.9377120133744312,0.948164571503109,96,20000,3.108,0.0942146824790013,0.17513922809632065,0.24813107344809504,84.16097485232996,0.8060000000000006
11,GA-SA,283.6666666666667,2401.787376039387,1330.8333333333333,0.0,0.5135180333799547,0.5152316972164256,1,20000,6.487,0.09784096526736959,0.19528292543744985,0.2695003521159791,84.21986755377293,0.7780000000000006
11,A*-GA,306.3333333333333,2483.1997741338873,1418.1666666666665,0.0,0.19351973802867217,1.0,2,20000,1.074,0.09942343145504136,0.1876715172481609,0.3164721171586944,84.48637626971555,0.8440000000000006
11,LWC,317.0,2406.210701180006,1376.3333333333335,0.0,0.3691689375914054,0.33561079848371667,48,20000,0.798,0.09651628872848704,0.1978052019963753,0.2756055789082741,83.61342854084356,0.8760000000000007
12,AW-NSGA-II,302.6666666666667,2612.2467966819136,1372.0,0.0,0.522363524682598,0.38295866760129615,41,20000,0.81,0.048811932862358506,0.19060091517781075,0.4578574771160928,86.09767680838979,0.8180000000000006
12,NSGA-II-2obj,308.3333333333333,2597.464339253994,1413.5000000000002,0.0,0.2832873556196449,0.6132986554281235,10,20000,0.872,0.048886107262738523,0.220013350467814,0.4731752152153881,82.35345324219992,0.8500000000000006
12,NSGA-II-3obj,304.0,2597.8232915015424,1406.4999999999998,0.0,0.5180682451248849,0.6839132163233972,43,20000,0.789,0.04869880506613553,0.2107652763794694,0.4372196934544992,83.41529934467331,0.8360000000000006
12,NSGA-III,308.3333333333333,2766.505268852159,1365.8333333333335,0.0,0.5284728541368244,0.4168418027150152,37,20000,0.828,0.045928359591336135,0.23059551362502206,0.5729976205893061,84.65658100692133,0.8500000000000006
12,MOEA/D,294.66666666666663,2434.9733640285517,1354.5,0.0,0.9471955791046605,0.9584754562848445,94,20000,3.067,0.047958468032661704,0.19853212104659645,0.42292832437812167,85.08876659561844,0.8240000000000006
12,GA-SA,327.33333333333337,2674.8451377614933,1365.8333333333335,0.0,0.2395196782320978,0.15821591824906633,1,20000,6.336,0.049116084821360206,0.239928359099001,0.45277618858014024,84.71475368169544,0.8920000000000007
12,A*-GA,304.99999999999994,2581.15930790102,1427.8333333333333,0.0,0.26374163062055905,1.0,5,20000,1.091,0.04984110277904622,0.24665457422967518,0.5642472334625948,86.16796827169894,0.8540000000000006
12,LWC,306.6666666666667,2707.6856115066093,1363.5,0.0,0.40228027428459645,0.28246285123035453,32,20000,0.824,0.04902537052167518,0.23319547981068356,0.433341333053733,83.15912903229184,0.8300000000000006
13,AW-NSGA-II,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.7831195337978527,0.658428574514629,68,20000,0.793,0.07249990236402357,0.17303581480258468,0.3639543259658804,84.39233884537056,0.9620000000000007
